AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
17985,17333,09/15/2022,09/14/2024,Health Care Clinic Exemption,H2 HEALTH,1700 THE GREENS WAY #101,,JACKSONVILLE BEACH,FL,32250,Duval,(800) 699-9395,484 RIVERSIDE AVE,,JACKSONVILLE,FL,32202,Duval,EXEMP CERTIFIED,,09/15/2022,,0,For-Profit,
17986,17334,09/15/2022,09/14/2024,Health Care Clinic Exemption,H2 HEALTH,1315 2ND AVE N #301,,JACKSONVILLE BEACH,FL,32250,Duval,(800) 699-9395,484 RIVERSIDE AVE,,JACKSONVILLE,FL,32202,Duval,EXEMP CERTIFIED,,09/15/2022,,0,For-Profit,
88,106962,05/25/2022,,Rehabilitation Agency,H2 REHABILITATION SERVICES OF FLORIDA LLC,4820 DEER LAKE DRIVE WEST,SUITE D-9,JACKSONVILLE,FL,32246,Duval,(904) 996-9129,484 RIVERSIDE AVE,7TH FLOOR,JACKSONVILLE,FL,32202-4912,Duval,FED CERTIFIED,H2 REHABILITATION SERVICES OF FLORIDA LLC,09/19/2008,,0,For-Profit,
39967066,237061,10/02/2022,10/01/2024,Homemaker and Companion Service,HAB & ASSOCIATE ALTERNATIVE SOLUTIONS  LLC,375 W 62ND ST,,JACKSONVILLE,FL,32208-3911,Duval,(904) 309-3650,PO BOX 8381,,FLEMING ISLE,FL,32006-0011,Clay,REGISTERED,HAB & ASSOCIATE ALTERNATIVE SOLUTIONS LLC,04/29/2011,VERONICA RICHARDSON WARD,0,For-Profit,
11968111,12086,01/19/2022,01/18/2024,Assisted Living Facility,HAMPTONS LUXURY VILLAS INC,10695 HAMPTON ROAD,,JACKSONVILLE,FL,32257,Duval,(904) 232-8575,10695 HAMPTON ROAD,,JACKSONVILLE,FL,32257,Duval,LICENSED,HAMPTON'S LUXURY VILLAS INC.,05/27/2011,HENNIE C WITHERUP,6,For-Profit,hamptonsluxuryvillasinc.com
489,686624,04/01/2011,,Rehabilitation Agency,HANA CARE INC,1771 EDGEWOOD AVE,SUITE 6B,JACKSONVILLE,FL,32208,Duval,(904) 768-9966,P O BOX 551373,,JACKSONVILLE,FL,32256,Duval,FED CERTIFIED,HANA CARE INC,09/22/2008,,0,For-Profit,
39973491,238031,09/30/2021,09/29/2023,Homemaker and Companion Service,HANASA NURSING LLC,4443 CROOKED CREEK DR,,JACKSONVILLE,FL,32224,Duval,(904) 993-8863,4443 CROOKED CREEK DR,,JACKSONVILLE,FL,32224,Duval,REGISTERED,HANASA NURSING LLC,09/17/2021,KURIYETU SALAU,0,For-Profit,
689600483,399,10/22/2021,10/21/2023,Home Health Agency Exemption,HANASA NURSING LLC,4443 CROOKED CREEK DR,,JACKSONVILLE,FL,32224,Duval,(904) 993-8863,4443 CROOKED CREEK DR,,JACKSONVILLE,FL,32224,Duval,EXEMP CERTIFIED,HANASA NURSING LLC,10/22/2021,,0,For-Profit,
2878,2680,06/09/2022,06/08/2024,Health Care Services Pool,HANASA NURSING LLC,4443 CROOKED CREEK DR,,JACKSONVILLE,FL,32224,Duval,(904) 933-8863,4443 CROOKED CREEK DR,,JACKSONVILLE,FL,32224,Duval,REGISTERED,HANASA NURSING LLC,05/02/2022,KURIYETU SALAU,0,For-Profit,
39972236,237007,09/11/2022,09/10/2024,Homemaker and Companion Service,HAND N HAND HEALTHCARE SERVICES LLC,7925 MERRILL RD APT 1509,,JACKSONVILLE,FL,32277,Duval,(904) 947-0766,7925 MERRILL RD APT 1509,,JACKSONVILLE,FL,32277,Duval,REGISTERED,HAND N HAND HEALTHCARE SERVICES LLC,08/24/2020,RITHA WASHINGTON MCFARLEY,0,For-Profit,https://handnhandhealthcaresvcs.com/
689600300,261,03/18/2021,03/17/2023,Home Health Agency Exemption,HAND N HAND HEALTHCARE SERVICES LLC,7925 MERRILL RD  # 1509,,JACKSONVILLE,FL,32277,Duval,(904) 947-0766,7925 MERRILL RD  # 1509,,JACKSONVILLE,FL,32277,Duval,EXEMP CERTIFIED,HAND N HAND HEALTHCARE SERVICES LLC,03/18/2021,,0,For-Profit,
39973673,238182,12/08/2021,12/07/2023,Homemaker and Companion Service,HAND TO HEART LLC,8265 CONCORD BLVD W,,JACKSONVILLE,FL,32208,Duval,(904) 544-9135,P O BOX 9334,,JACKSONVILLE,FL,32208,Duval,REGISTERED,HAND TO HEART LLC,11/01/2021,MARCIA JARRETT,0,For-Profit,
689600521,430,12/02/2021,12/01/2023,Home Health Agency Exemption,HAND TO HEART LLC,8265 CONCORD BLVD W,,JACKSONVILLE,FL,32208,Duval,(904) 544-9135,PO BOX 9334,,JACKSONVILLE,FL,32208,Duval,EXEMP CERTIFIED,HAND TO HEART LLC,12/02/2021,,0,For-Profit,
39974352,238706,07/13/2022,07/12/2024,Homemaker and Companion Service,HANDS OF AN ANGEL LLC,3674 HONEYDEW LN,,JACKSONVILLE,FL,32206,Duval,(904) 962-0363,3674 HONEYDEW LN,,JACKSONVILLE,FL,32206,Duval,REGISTERED,HANDS OF AN ANGEL LLC,05/19/2022,LEAUDRA PATTON,0,For-Profit,
27003962,,02/11/2021,,Clinical Laboratory,HANSA PHARMACY LLC DBA  ALPHA PHARMACY,9965 SAN JOSE BLVD  SUITE 52,,JACKSONVILLE,FL,32257,Duval,(904) 551-1552,9965 SAN JOSE BLVD  SUITE 52,,JACKSONVILLE,FL,32257,Duval,FED CERTIFIED,,02/11/2021,,0,,
1602,1498,05/09/2022,05/08/2024,Health Care Services Pool,HANZONCARE LLC,841 PRUDENTIAL DR,12TH FLOOR,JACKSONVILLE,FL,32207,Duval,(904) 469-4390,841 PRUDENTIAL DR,12TH FLOOR,JACKSONVILLE,FL,32207,Duval,REGISTERED,HANZONCARE LLC,11/07/2011,JAMES LESTER DANIELS,0,For-Profit,
689600520,446,12/27/2021,12/26/2023,Home Health Agency Exemption,HAPPY HEARTS PROVIDER SERVICES LLC,2371 MCQUADE ST,,JACKSONVILLE,FL,32209,Duval,(352) 454-9606,2371 MCQUADE ST,,JACKSONVILLE,FL,32209,Duval,EXEMP CERTIFIED,HAPPY HEARTS PROVIDER SERVICES LLC,12/27/2021,,0,For-Profit,
39973704,238185,12/08/2021,12/07/2023,Homemaker and Companion Service,HAPPY HEARTS PROVIDER SERVICES LLC,2371 MCQUADE ST,,JACKSONVILLE,FL,32209,Duval,(352) 454-9606,2371 MCQUADE ST,,JACKSONVILLE,FL,32209,Duval,REGISTERED,HAPPY HEARTS PROVIDER SERVICES LLC,11/08/2021,SHALINDA WILLIAMS,0,For-Profit,
11965346,9726,02/28/2022,02/22/2022,Assisted Living Facility,HARBORCHASE OF JACKSONVILLE,3455 SAN PABLO ROAD,,JACKSONVILLE,FL,32224,Duval,(904) 821-8030,3455 SAN PABLO ROAD SOUTH,,JACKSONVILLE,FL,32224,Duval,IN REVIEW,HARBORCHASE OF JACKSONVILLE LLC,11/25/2003,JANANN HOLT,100,For-Profit,www.harborchase.com
11969316,13126,03/11/2022,03/10/2023,Assisted Living Facility,HARBORCHASE OF MANDARIN,12350 SAN JOSE BOULEVARD,,JACKSONVILLE,FL,32223,Duval,(904) 580-7676,12350 SAN JOSE BOULEVARD,,JACKSONVILLE,FL,32223,Duval,PROVISIONAL,KRE MANDARIN OPCO LLC,03/11/2022,KATHERINE SCHACHTER,77,For-Profit,www.harborchase.com
19963969,299991522,01/20/2023,05/01/2023,Home Health Agency,HARMONYCARES HOME HEALTH,4348 SOUTHPOINT BLVD STE 320,,JACKSONVILLE,FL,32216,Duval,(904) 241-1656,500 KIRTS BLVD,,TROY,MI,48084,,LICENSED,NORTH FLORIDA HEALTH SERVICES INC,01/05/2001,GREGORY GAFFORD,0,For-Profit,http://pinnaclesenior.com
16029,15391,09/21/2022,04/21/2023,Health Care Clinic Exemption,HARMONYCARES MEDICAL GROUP,4348 SOUTHPOINT BLVD  STE 100,,JACKSONVILLE,FL,32216-0903,Duval,(904) 281-1915,500 KIRTS BLVD,,TROY,MI,48084-4134,,EXEMP CERTIFIED,,04/22/2021,,0,For-Profit,
12962052,9014,03/23/2022,03/22/2024,Adult Day Care Center,HARRIS HOUSE ADULT DAYCARE CENTER  INC,9857 GIBSON AVENUE,,JACKSONVILLE,FL,32208,Duval,(904) 768-1283,9857 GIBSON AVENUE,,JACKSONVILLE,FL,32208,Duval,LICENSED,HARRIS HOUSE ADULT DAYCARE CENTER INC,02/10/2004,RENEE A HARRIS,14,For-Profit,www.harrishouseadultdaycare.com
39973482,238111,11/03/2021,11/02/2023,Homemaker and Companion Service,HARRIS IN HOME SUPPORTIVE CARE LLC,10574 LAKE HOLLOW LN,,JACKSONVILLE,FL,32257,Duval,(904) 866-9063,10574 LAKE HOLLOW LN,,JACKSONVILLE,FL,32257,Duval,REGISTERED,HARRIS IN HOME SUPPORTIVE CARE LLC,09/29/2021,KAYSHAUN HARRIS,0,For-Profit,
26792090,,11/09/2022,,Clinical Laboratory,HARTS HARBOR HEALTH CARE CENTER,11565 HARTS RD,,JACKSONVILLE,FL,32218-3777,Duval,(904) 751-1834,1040 CROWN POINTE PKWY STE 600,LICENSE AND CERTIFICATION DEPT,ATLANTA,GA,30338,,FED CERTIFIED,,12/04/2019,,0,,
41620,15640961,05/02/2022,05/01/2024,Nursing Home,HARTS HARBOR HEALTH CARE CENTER,11565 HARTS RD,,JACKSONVILLE,FL,32218-3777,Duval,(904) 751-1834,11565 HARTS RD,,JACKSONVILLE,FL,32218-3777,Duval,LICENSED,11565 HARTS ROAD OPERATIONS LLC,02/01/2012,ROBENSON R JOSEPH JR,180,For-Profit,www.raydianthc.com
39973119,237768,07/08/2021,07/07/2023,Homemaker and Companion Service,HARVEY ROSE CARE AGENCY LLC,15740 NORTHSIDE DR W,,JACKSONVILLE,FL,32218,Duval,(904) 885-5019,15740 NORTHSIDE DR W,,JACKSONVILLE,FL,32218,Duval,REGISTERED,HARVEY ROSE CARE AGENCY LLC,06/07/2021,BRITTNEY HARVEY,0,For-Profit,
689600683,588,10/13/2022,10/12/2024,Home Health Agency Exemption,HARVEYS HOME HEALTH CARE,11253 BEACON DR,,JACKSONVILLE,FL,32225,Duval,(904) 933-8221,11253 BEACON DR,,JACKSONVILLE,FL,32225,Duval,EXEMP CERTIFIED,HARVEYS HOME HEALTH CARE,09/11/2022,,0,For-Profit,
27003097,,02/09/2021,,Clinical Laboratory,HARVEYS PHARMACY  #1688,777 MARKET STREET,,JACKSONVILLE,FL,32202,Duval,(904) 632-0844,777 MARKET STREET,,JACKSONVILLE,FL,32202,Duval,FED CERTIFIED,,,,0,,
27003089,,02/23/2021,,Clinical Laboratory,HARVEYS PHARMACY  #1689,2261 W EDGEWOOD AVENUE,,JACKSONVILLE,FL,32209,Duval,(904) 924-0615,2261 W EDGEWOOD AVENUE,,JACKSONVILLE,FL,32209,Duval,FED CERTIFIED,,,,0,,
27003090,,02/08/2021,,Clinical Laboratory,HARVEYS PHARMACY  #1690,5909 UNIVERSITY BLVD WEST,,JACKSONVILLE,FL,32216,Duval,(904) 636-0500,5909 UNIVERSITY BLVD WEST,,JACKSONVILLE,FL,32216,Duval,FED CERTIFIED,,,,0,,
27003091,,02/09/2021,,Clinical Laboratory,HARVEYS PHARMACY  #1692,5250 MONCRIEF ROAD,,JACKSONVILLE,FL,32209,Duval,(904) 768-7400,5250 MONCRIEF ROAD,,JACKSONVILLE,FL,32209,Duval,FED CERTIFIED,,,,0,,
27003094,,02/09/2021,,Clinical Laboratory,HARVEYS PHARMACY  #1694,201 W 48TH STREET,,JACKSONVILLE,FL,32208,Duval,(904) 766-4700,201 W 48TH STREET,,JACKSONVILLE,FL,32208,Duval,FED CERTIFIED,,,,0,,
39968574,233756,11/05/2022,01/04/2025,Homemaker and Companion Service,HAVE "FAITH" SUPPORT SERVICES INC,112 LANE AVE S # 5,,JACKSONVILLE,FL,32254,Duval,(904) 382-9826,112 LANE AVE S # 5,,JACKSONVILLE,FL,32254,Duval,REGISTERED,HAVE "FAITH" SUPPORT SERVICES INC,10/06/2014,MARINESA SIELEE POKE,0,For-Profit,
27009075,,05/04/2022,,Clinical Laboratory,HAVEN FAMILY HEALTH LLC,3000 3RD ST SOUTH SUITE 3004 B,,JACKSONVILLE BEACH,FL,32250,Duval,(904) 902-0150,352 N LOMBARDY LOOP,,SAINT JOHNS,FL,32259,St. Johns,FED CERTIFIED,,03/04/2022,,0,,
26985160,,03/23/2022,,Clinical Laboratory,HCA FLORIDA ATLANTIC EMERGENCY A PART OF HCA FLORIDA MEMORIAL HO,11850 ATLANTIC BLVD,,JACKSONVILLE,FL,32225,Duval,,11850 ATLANTIC BLVD,,JACKSONVILLE,FL,32225,Duval,FED CERTIFIED,MEMORIAL HEALTHCARE GROUP INC,03/24/2014,ROBERT E BARNES,0,For-Profit,
26956186,,07/28/2022,,Clinical Laboratory,HCA FLORIDA HEALTHCARE AT HOME,7411 FULLERTON ST,SUITE 106,JACKSONVILLE,FL,32256,Duval,(954) 344-5220,1 PARK PLZ,ATTN JESSICA BROWNLOW,NASHVILLE,TN,37203,,FED CERTIFIED,,09/24/2007,,0,For-Profit,
19966029,299993263,06/30/2022,06/30/2023,Home Health Agency,HCA FLORIDA HEALTHCARE AT HOME,7411 FULLERTON ST STE 106,,JACKSONVILLE,FL,32256,Duval,(904) 355-2991,1 PARK PLAZA,BLDG 2,NASHVILLE,TN,37203,,LICENSED,NURSE ON CALL  LLC,05/05/2008,SANDRA ROBERSON,0,For-Profit,nurseoncall.com
26986128,,03/23/2022,,Clinical Laboratory,HCA FLORIDA MANDARIN EMERGENCY A PART OF HCA FLORIDA MEMORIAL HO,10910 SAN JOSE BLVD,,JACKSONVILLE,FL,32223,Duval,,10910 SAN JOSE BLVD,,JACKSONVILLE,FL,33225,Duval,FED CERTIFIED,MEMORIAL HEALTHCARE GROUP INC,10/04/2016,ROBERT E BARNES,0,For-Profit,
100179,4447,04/03/2023,04/02/2025,Hospital,HCA FLORIDA MEMORIAL HOSPITAL,3625 UNIVERSITY BLVD S,,JACKSONVILLE,FL,32216,Duval,(904) 702-6111,3625 UNIVERSITY BLVD S,,JACKSONVILLE,FL,32216,Duval,LICENSED,MEMORIAL HEALTHCARE GROUP INC,11/30/2006,MR BRADLEY S TALBERT,454,For-Profit,http://www.memorialhospitaljax.com/
26910078,,03/21/2022,,Clinical Laboratory,HCA FLORIDA MEMORIAL HOSPITAL,3625 UNIVERSITY BLVD S,,JACKSONVILLE,FL,32216,Duval,(904) 702-6917,3625 UNIVERSITY BLVD S,,JACKSONVILLE,FL,32216,Duval,FED CERTIFIED,MEMORIAL HEALTHCARE GROUP INC,11/06/2006,ROBERT E BARNES,0,For-Profit,na
26977347,,03/23/2022,,Clinical Laboratory,HCA FLORIDA MEMORIAL HOSPITAL,3625 UNIVERSITY BLVD S,,JACKSONVILLE,FL,32216,Duval,(904) 391-1352,3625 UNIVERSITY BLVD S,,JACKSONVILLE,FL,32216,Duval,FED CERTIFIED,,03/01/2005,,0,For-Profit,
27002476,,03/23/2022,,Clinical Laboratory,HCA FLORIDA MEMORIAL HOSPITAL IMAGING CENTER,3901 UNIVERSITY BLVD S  STE 112,,JACKSONVILLE,FL,32216,Duval,(904) 702-1352,3901 UNIVERSITY BLVD S  STE 112,,JACKSONVILLE,FL,32216,Duval,FED CERTIFIED,,,,0,,
26978849,,03/24/2022,,Clinical Laboratory,HCA FLORIDA MEMORIAL HOSPITAL SURGERY CENTER,6138 KENNERLY RD STE 201,,JACKSONVILLE,FL,32216,Duval,(904) 208-4120,6138 KENNERLY RD STE 201,,JACKSONVILLE,FL,32216,Duval,FED CERTIFIED,,06/14/2006,,0,For-Profit,
26988401,,04/07/2022,,Clinical Laboratory,HCA FLORIDA NORMANDY PARK EMERGENCY A PART OF HCA FLORIDA ORANGE,5773 NORMANDY BLVD,,JACKSONVILLE,FL,32205,Duval,(904) 639-8513,5773 NORMANDY BLVD,,JACKSONVILLE,FL,32205,Duval,FED CERTIFIED,,03/25/2019,SILVIA DEPAZ,0,For-Profit,
26985648,,04/08/2022,,Clinical Laboratory,HCA FLORIDA PARK WEST EMERGENCY A PART OF HCA FLORIDA ORANGE PAR,6477 103RD ST,,JACKSONVILLE,FL,32210,Duval,(904) 639-8513,6477 103RD ST,,JACKSONVILLE,FL,32210,Duval,FED CERTIFIED,ORANGE PARK MEDICAL CENTER INC,05/27/2015,SILVIA DEPAZ,0,For-Profit,
26990257,,08/22/2019,,Clinical Laboratory,HEADWATERS HEALTH,1539 PARENTAL HOME RD STE 5,,JACKSONVILLE,FL,32216,Duval,(604) 290-6028,1539 PARENTAL HOME RD STE 5,,JACKSONVILLE,FL,32216,Duval,FED CERTIFIED,,08/22/2019,,0,,
39973322,238008,11/22/2022,09/21/2023,Homemaker and Companion Service,HEALING AND CARING HANDS HEALTHCARE LLC,342 E 46TH ST,,JACKSONVILLE,FL,32208,Duval,(904) 400-5326,7557 ARLINGTON EXPY H303,,JACKSONVILLE,FL,32211,Duval,REGISTERED,HEALING AND CARING HANDS HEALTHCARE LLC,08/02/2021,STACY SCOTT-MORRELL,0,For-Profit,HCHHEALTHCARE.COM
39970763,237536,04/23/2023,04/22/2025,Homemaker and Companion Service,HEALING HANDS HOMECARE,9135 4TH AVE,,JACKSONVILLE,FL,32208,Duval,(904) 616-8313,9135 4TH AVE,,JACKSONVILLE,FL,32208,Duval,REGISTERED,LASEANE PLATTS,12/10/2018,PLATTS LASEANE,0,For-Profit,https://healinghandshomecare.agency/
689600443,373,09/15/2021,09/14/2023,Home Health Agency Exemption,HEALING HANDS HOMECARE,9135 4TH AVE,,JACKSONVILLE,FL,32208,Duval,(904) 616-8313,9135 4TH AVE,,JACKSONVILLE,FL,32208,Duval,EXEMP CERTIFIED,LASEANE PLATTS,08/13/2021,,0,For-Profit,
5860,1314692,11/14/2021,11/13/2023,Home Medical Equipment Provider,HEALOGICS WOUND CARE SUPPLY LLC,5220 BELFORT ROAD SUITE 150,,JACKSONVILLE,FL,32256,Duval,(904) 446-3832,5220 BELFORT ROAD SUITE 150,,JACKSONVILLE,FL,32256,Duval,LICENSED,HEALOGICS WOUND CARE SUPPLY LLC,08/16/2019,RICHARD PETER GALENTINO,0,For-Profit,WWW.HEALOGICSWOUNDCARESUPPLY.COM
42963570,30211915,11/13/2021,11/12/2023,Nurse Registry,HEALTH ASSIST LLC,50 N LAURA ST,SUITE 2500,JACKSONVILLE,FL,32202,Duval,(904) 552-5000,50 N LAURA ST,STE 2500,JACKSONVILLE,FL,32202,Duval,LICENSED,HEALTH ASSIST  LLC,05/08/2017,HANS BOEHM,0,For-Profit,www.HealthAssistJax.com
2566,2491,09/03/2021,09/02/2023,Health Care Services Pool,HEALTH HERO FLORIDA,320 1ST ST N  STE 101,,JACKSONVILLE BEACH,FL,32250,Duval,(904) 694-4182,320 1ST ST N  STE 101,,JACKSONVILLE BEACH,FL,32250,Duval,REGISTERED,MAXVAX LLC,09/03/2021,JEFFREY EGAN LOTT,0,For-Profit,www.HealthHeroFlorida.com
26988825,,02/03/2021,,Clinical Laboratory,HEALTH PRO MEDICAL,8016 ATLANTIC BLVD,,JACKSONVILLE,FL,32211,Duval,(904) 619-8687,8016 ATLANTIC BLVD,,JACKSONVILLE,FL,32211,Duval,FED CERTIFIED,,02/22/2019,,0,,
41608,1132096,03/01/2022,02/29/2024,Nursing Home,HEALTHCARE CENTER OF JACKSONVILLE,5377 MONCRIEF ROAD,,JACKSONVILLE,FL,32209,Duval,(904) 768-1506,5377 MONCRIEF ROAD,,JACKSONVILLE,FL,32209,Duval,LICENSED,SUMMER BROOK FL SNF MANAGEMENT LLC,12/01/2019,MARIA INTERIANO,120,For-Profit,healthcarecenterofjacksonville.com
39973789,238470,04/01/2022,03/31/2024,Homemaker and Companion Service,HEALTHCARE LOYALTY LLC,454 DAY AVE,,JACKSONVILLE,FL,32254,Duval,(904) 930-6282,454 DAY AVE,,JACKSONVILLE,FL,32254,Duval,REGISTERED,HEALTHCARE LOYALTY,04/01/2022,KAANNA REED,0,For-Profit,www.healthcareloyalty.org
2964,2750,09/30/2022,09/29/2024,Health Care Services Pool,HEALTHCARE PROVISIONS STAFFING AGENCY LLC,13475 ATLANTIC BLVD,UNIT 8,JACKSONVILLE,FL,32225,Duval,(877) 711-8636,13475 ATLANTIC BLVD UNIT 8 STE M910,,JACKSONVILLE,FL,32225,Duval,REGISTERED,Healthcare Provisions Staffing Agency LLC,09/30/2022,PATRICIA THOMPSON,0,For-Profit,www.healthcareprovisions.com
26996470,,04/26/2022,,Clinical Laboratory,HEALTHWORKS MED GROUP OF FLORIDA PA,5201 GATE PKWY STE 134,,JACKSONVILLE,FL,32256,Duval,(904) 645-4060,5500 MARYLAND WAY  STE 120,,BRENTWOOD,TN,37027,,FED CERTIFIED,,,,0,,
27006281,,12/19/2022,,Clinical Laboratory,HEALTHWORKS MED GROUP OF FLORIDA  PA,14000 CITICARDS WAY BLDG A 1ST FLOOR,DBA CITI HEALTH SERVICES,JACKSONVILLE,FL,32258,Duval,(904) 354-8262,5500 MARYLAND WAY STE 120,ATTN: COMPLIANCE,BRENTWOOD,TN,37027,,FED CERTIFIED,,,,0,,
2519,2413,02/16/2022,05/17/2023,Health Care Services Pool,HEALTHY TRAVEL STAFFING AGENCY  LLC,4600 TOUCHTON RD E,BLDG 100  STE 150,JACKSONVILLE,FL,32246,Duval,(866) 207-2821,4600 TOUCHTON RD E,BLDG 100  STE 150,JACKSONVILLE,FL,32246,Duval,REGISTERED,HEALTHY TRAVEL STAFFING AGENCY  LLC,05/18/2021,BRITTNEY GAFFNEY-BUTLER,0,For-Profit,www.healthytravelstaffing.com
39971709,239130,02/08/2023,02/07/2025,Homemaker and Companion Service,HEART OF JOY LLC,2935 HOLLY POINT DR,,JACKSONVILLE,FL,32277,Duval,(904) 651-1177,2935 HOLLY POINT DR,,JACKSONVILLE,FL,32277,Duval,REGISTERED,HEART OF JOY LLC,02/27/2020,GERHONDA PLAZZ,0,For-Profit,
39974645,238826,09/08/2022,09/07/2024,Homemaker and Companion Service,HEART2HEART HHC INC.,4450 TROPEA WAY,UNIT 1202,JACKSONVILLE,FL,32246,Duval,(937) 823-6550,4450 TROPEA WAY,UNIT 1202,JACKSONVILLE,FL,32246,Duval,REGISTERED,HEART2HEART HHC INC.,08/18/2022,ANDREA LAWON BAXTER WILKES,0,For-Profit,www.heart2hearthhcinc.com
26931794,,09/21/2020,,Clinical Laboratory,HEARTLAND HEALTH CARE CENTER-JACKSONVILLE,8495 NORMANDY BLVD,,JACKSONVILLE,FL,32221,Duval,(904) 783-3749,8495 NORMANDY BLVD,,JACKSONVILLE,FL,32221,Duval,FED CERTIFIED,,01/25/2008,,0,For-Profit,
26997113,,,,Clinical Laboratory,HEARTLAND HOME HEALTH CARE AND HOSPICE,8130 BAYMEADOWS WAY W  STE 201,,JACKSONVILLE,FL,32256,Duval,(904) 737-2553,8130 BAYMEADOWS WAY W  STE 201,,JACKSONVILLE,FL,32256,Duval,FED CERTIFIED,,,,0,,
2657,2530,10/20/2021,10/19/2023,Health Care Services Pool,HEARTLINE HEALTHCARE STAFFING AGENCY LLC,13475 ATLANTIC BLVD UNIT 8 3010,,JACKSONVILLE,FL,32225,Duval,(800) 480-3919,PO BOX 2555,,JACKSONVILLE,FL,32202,Duval,REGISTERED,HEARTLINE HEALTHCARE STAFFING AGENCY LLC,10/20/2021,LISA D WILLIAMS,0,For-Profit,www.heartlinehsa.com
39972707,237424,03/10/2021,03/09/2023,Homemaker and Companion Service,HEARTS OF GOLD 4 COMPANIONS,1540 LAKE SHORE BLVD,,JACKSONVILLE,FL,32205,Duval,(904) 762-7177,1540 LAKE SHORE BLVD,,JACKSONVILLE,FL,32205,Duval,REGISTERED,HEARTS OF GOLD 4 COMPANIONS LLC,02/08/2021,ARIAN HARRISON,0,For-Profit,
39970720,238319,02/03/2022,02/02/2024,Homemaker and Companion Service,HEAVEN SENT HOMEMAKER AND COMPANION SERVICES,3037 POST ST,,JACKSONVILLE,FL,32205-6031,Duval,(904) 226-8791,3037 POST ST,,JACKSONVILLE,FL,32205-6031,Duval,REGISTERED,BRITTNEY GREEN,01/17/2022,BRITTNEY KEANNA GREEN,0,For-Profit,
39973388,238327,02/07/2022,02/06/2024,Homemaker and Companion Service,HEAVENLY HEALTH CARE,5105 BENNING RD,,JACKSONVILLE,FL,32254,Duval,(904) 487-3949,5105 BENNING RD,,JACKSONVILLE,FL,32254,Duval,REGISTERED,SHIRLEY WILSON,08/23/2021,SHIRLEY WILSON,0,For-Profit,
39973847,238393,03/02/2022,03/01/2024,Homemaker and Companion Service,HEAVENLY HEARTS AND HANDS HOMEMAKER AND COMPANION,6856 CAMELOT RD,,JACKSONVILLE,FL,32211,Duval,(904) 330-5678,6856 CAMELOT RD,,JACKSONVILLE,FL,32211,Duval,REGISTERED,ERICKA LEWIS,01/06/2022,ERICKA LEWIS,0,For-Profit,
39973544,238607,06/03/2022,06/02/2024,Homemaker and Companion Service,HEAVENLY LOVE HOME CARE LLC,7253 KOLEDA DR,,JACKSONVILLE,FL,32210,Duval,(904) 258-4328,7253 KOLEDA DR,,JACKSONVILLE,FL,32210,Duval,REGISTERED,HEAVENLY LOVE HOME CARE LLC,05/12/2022,LAWANA RILEY FL,0,For-Profit,
39968051,233178,09/03/2021,09/02/2023,Homemaker and Companion Service,HELPING FAMILIES LLC,1408 W STATE ST,,JACKSONVILLE,FL,32209,Duval,(904) 437-4819,PO BOX 14894,,JACKSONVILLE,FL,32238,Duval,REGISTERED,HELPING FAMILIES,05/07/2013,VONCILLE YVETTE DENSON,0,For-Profit,http://www.homecompanionflorida.com/
39972892,237647,06/02/2021,06/01/2023,Homemaker and Companion Service,HELPING HANDS LOVING HEARTS LLC,5710 LENOX AVE  APT # 213,,JACKSONVILLE,FL,32205,Duval,(904) 307-3197,5710 LENOX AVE  APT # 213,,JACKSONVILLE,FL,32205,Duval,REGISTERED,HELPING HANDS LOVING HEARTS LLC,04/05/2021,SHAWNTEE' KINSEY,0,For-Profit,
42963885,30212228,06/22/2021,06/21/2023,Nurse Registry,HELPING HANDS NURSES LLC,10151 DEERWOOD PARKWAY BLVD 200 ,STE 250,JACKSONVILLE,FL,32256,Duval,(904) 423-6337,2575 HAYWOOD ESTATES LAND,STE 250,ATLANTIC BEACH,FL,32233,Duval,LICENSED,HELPING HANDS NURSES LLC,10/26/2020,NETASHA KING,0,For-Profit,www.helpinghandsnurses.life
39973819,238263,01/11/2022,01/10/2024,Homemaker and Companion Service,HELPING HANDS WITH CARING HEARTS LLC,10846 BAHIA DR,,JACKSONVILLE,FL,32246,Duval,(904) 729-8505,10846 BAHIA DR,,JACKSONVILLE,FL,32246,Duval,REGISTERED,HELPING HANDS WITH CARING HEARTS LLC,12/22/2021,LISA HARRIS,0,For-Profit,
26982976,,02/15/2023,,Clinical Laboratory,HEMARUS LLC,11925 BEACH BLVD STE 212,,JACKSONVILLE,FL,32246,Duval,(904) 642-1005,601 HERITAGE DR,STE 214,JUPITER,FL,33458-2777,Palm Beach,FED CERTIFIED,HEMARUS LLC,05/06/2009,JEWEL R SCARLETT,0,For-Profit,www.hemarusplasma.us
11966829,10960,11/01/2022,10/31/2024,Assisted Living Facility,HER HEART GARDENS,9150 FORT CAROLINE RD,,JACKSONVILLE,FL,32225-4335,Duval,(904) 743-3315,9150 FORT CAROLINE RD,,JACKSONVILLE,FL,32225-4335,Duval,LICENSED,FORT CAROLINE GARDENS  LLC,11/21/2006,DANIEL CANO,78,For-Profit,www.herheartalf.com
